id,lat,lon,city,iata,size
1624,55.17886766328199,-162.7734375,Cold Bay,CDB,4
1642,60.413852350464914,-145.546875,Cordova,CDV,4
1647,41.77131167976406,-124.1015625,Crescent City,CEC,4
1670,37.43997405227058,-108.6328125,Cortez,CEZ,4
1682,55.379110448010486,-133.2421875,Craig,CGA,4
1795,19.31114335506464,-103.7109375,Colima,CLQ,4
1838,32.249974455863295,-104.4140625,Carlsbad,CNM,4
1850,38.8225909761771,-109.6875,Moab,CNY,4
1872,38.8225909761771,-92.109375,Columbia,COU,4
1882,19.973348786110602,-90.3515625,Campeche,CPE,4
2009,34.30714385628804,-103.0078125,Clovis,CVN,4
2014,44.84029065139799,-89.6484375,Wausau,CWA,4
2198,46.8000594467873,-92.109375,Duluth,DLH,4
2311,48.2246726495652,-98.7890625,Devils Lake,DVL,4
2419,33.13755119234615,-92.8125,El Dorado,ELD,4
2424,64.6238772020469,-162.421875,Elim,ELI,4
2689,35.17380831799958,-111.796875,Flagstaff,FLG,4
2830,63.704722429433225,-171.5625,Gambell,GAM,4
2975,64.6238772020469,-163.125,Golovin,GLV,4
3034,-0.35156029399227234,-90.3515625,Baltra Island,GPS,4
3085,33.43144133557529,-88.59375,Columbus,GTR,4
3103,35.4606699514953,-108.6328125,Gallup,GUP,4
3368,59.175928249271365,-135.3515625,Haines,HNS,4
3371,32.54681317351515,-103.359375,Hobbs,HOB,4
3380,59.71209717332292,-151.5234375,Homer,HOM,4
3386,34.59704151614417,-93.1640625,Hot Springs,HOT,4
3391,61.606396371386275,-166.2890625,Hooper Bay,HPB,4
3408,36.3151251474805,-93.1640625,Harrison,HRO,4
3506,66.93006025862447,-160.3125,Kiana,IAN,4
3576,52.90890204777026,-168.75,Nikolski,IKO,4
3614,16.636191878397657,-88.59375,Independence,INB,4
3649,32.84267363195431,-115.6640625,Imperial / El Centro,IPL,4
3698,19.642587534013032,-155.0390625,Hilo,ITO,4
3714,46.55886030311718,-90,Ironwood,IWD,4
3765,35.7465122599185,-90.703125,Jonesboro,JBR,4
3849,37.160316546736766,-94.5703125,Joplin,JLN,4
3861,47.04018214480665,-98.7890625,Jamestown,JMS,4
3949,56.944974180851595,-133.9453125,Kake,KAE,4
3969,66.23145747862573,-145.8984375,Birch Creek,KBC,4
4133,58.26328705248602,-152.2265625,Kitoi Bay,KKB,4
4159,61.606396371386275,-160.3125,Kalskag,KLG,4
4197,56.944974180851595,-153.984375,Moser Bay,KMY,4
4208,59.355596110016315,-154.6875,Kakhonak,KNK,4
